	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
HXK2	1.176	1.025	NA	1.003	1.189	NA	1.051	0.926	NA
RM12	NA	NA	1.251	0.912	NA	1.5	NA	NA	1.316
THOP1	NA	NA	1.114	NA	NA	1.123	NA	NA	NA
CAZA1	NA	NA	1.035	NA	NA	1.318	0.758	NA	1.127
HMGA2	NA	0.957	1.068	0.898	1.134	1.15	0.872	0.861	1.19
CRIP2	NA	0.999	NA	NA	1.314	NA	NA	0.855	NA
NUP98	NA	NA	NA	NA	NA	1.182	NA	NA	NA
BIEA	NA	NA	0.623	NA	NA	1.084	NA	NA	NA
TXTP	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPP5	1.224	0.768	NA	1.084	NA	1.215	NA	NA	1.306
PLK1	1.161	NA	NA	0.998	NA	NA	0.864	NA	NA
ARFP1	NA	NA	NA	0.9	NA	NA	NA	NA	NA
NUBP1	1.225	0.855	0.91	0.993	1.071	1.149	0.968	NA	1.174
ACLY	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEBPG	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP11	NA	0.94	NA	NA	1.067	NA	NA	0.871	1.191
SUCA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MVD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGTB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
COPB	NA	NA	NA	1.048	NA	NA	NA	NA	NA
COPA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CATC	1.236	1.047	1.072	1.041	1.241	1.205	0.949	0.988	1.243
LIMK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP2S1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCHL	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPAB4	NA	NA	NA	NA	1.244	NA	NA	0.74	NA
SMTN	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOT1	1.241	NA	NA	0.988	1.097	NA	0.92	0.94	1.418
IST1	NA	NA	1.905	NA	NA	2.74	NA	NA	0.919
SC24C	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCP4	1.199	0.998	0.909	0.876	1.138	0.952	0.861	0.8	1.108
DPOG1	NA	0.947	0.953	NA	1.157	1.041	NA	0.861	1.276
ICLN	1.198	0.909	1.158	0.977	1.072	1.291	3.849	0.852	NA
BLM	NA	0.975	NA	0.932	1.022	1.047	0.798	0.91	0.863
SYRC	NA	NA	NA	NA	NA	0.859	NA	NA	NA
ATX1	NA	NA	1.123	NA	NA	NA	NA	NA	NA
ATN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PMS1	1.264	1.05	1.098	0.972	1.031	1.186	0.993	0.849	1.215
CA2D1	NA	NA	1.016	NA	NA	1.199	NA	NA	1.271
SYYC	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBP14	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAKG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSP72	NA	NA	NA	0.966	NA	NA	NA	NA	NA
BCAT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1B3	NA	0.879	NA	NA	1.041	NA	NA	NA	NA
RD23A	NA	NA	NA	NA	NA	NA	NA	NA	NA
RD23B	NA	NA	NA	NA	1.083	1.188	NA	NA	NA
ANAG	NA	NA	NA	NA	NA	1.203	NA	NA	NA
KAD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRRX1	1.075	0.968	NA	0.953	1.085	1.15	0.847	0.869	1.05
P5CS	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNAA	1.131	NA	NA	0.91	NA	NA	NA	NA	NA
IF5	1.045	1.011	NA	NA	NA	1.159	1.005	NA	1.104
PSMD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
DRG2	NA	0.899	1.014	NA	NA	1.325	NA	NA	1.264
GEM	1.306	NA	NA	1.174	1.286	1.136	NA	1.009	0.61
XPO2	NA	NA	NA	0.899	NA	NA	0.832	NA	NA
BI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TERA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFAP1	NA	0.948	0.962	NA	1.129	1.136	0.878	0.883	1.048
ECHB	1.145	0.931	0.98	0.949	1.052	1.136	0.889	0.855	1.12
UCN1	1.133	1.071	0.934	0.938	1.037	1.105	0.865	0.842	1.092
AFAD	1.056	0.846	1.155	1.037	1.317	1.496	0.917	0.792	1.317
AF10	1.311	1.406	0.959	1.266	1.308	1.015	1.055	1.682	1.059
ELL	NA	NA	NA	NA	NA	0.806	NA	NA	NA
NP1L1	NA	NA	NA	0.854	NA	NA	0.974	NA	NA
CASP7	NA	NA	NA	1.001	NA	NA	NA	NA	NA
CASP6	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADK	NA	NA	NA	NA	NA	NA	NA	NA	NA
DSRAD	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CADH6	2.149	0.974	0.863	NA	1.111	1.062	1.5	0.944	NA
CAD11	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXG1	0.812	NA	NA	NA	NA	1.085	0.714	NA	NA
SEC13	NA	NA	NA	NA	NA	NA	NA	NA	NA
NH2L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSA	1.375	NA	NA	1.104	NA	NA	0.993	0.925	NA
HNRH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCOT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF3B	NA	0.973	NA	NA	1.155	NA	NA	0.924	NA
BID	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATPK	NA	0.877	0.979	0.837	NA	1.161	0.754	NA	1.035
NDUV3	NA	1.135	1.133	NA	1.369	1.321	0.944	NA	0.988
RRP1	NA	0.895	NA	0.934	NA	NA	0.838	NA	NA
SYMC	1.153	NA	1.635	0.716	NA	0.725	NA	NA	NA
ITA1	NA	NA	NA	NA	1.242	NA	NA	NA	NA
ARP19	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP1S2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP68	NA	0.839	0.754	NA	1.095	0.949	NA	0.893	NA
ATP5E	1.315	NA	0.968	1.013	1.543	1.359	NA	NA	1.08
ATP5I	NA	0.836	NA	NA	NA	1.248	NA	0.873	1.229
HDAC4	1.181	0.98	0.925	0.987	1.196	1.276	0.828	0.929	2.694
IF6	NA	0.875	NA	NA	1.094	NA	NA	0.722	NA
CTBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUA6	NA	1.004	NA	NA	1.141	NA	NA	NA	NA
CLD12	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHB7	NA	NA	NA	0.852	NA	NA	0.825	NA	NA
BCAR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
M3KCL	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR4	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMM33	1.172	0.965	1.171	0.942	1.108	1.222	0.913	0.867	1.222
SYJ2B	NA	NA	NA	NA	NA	1.073	NA	NA	NA
GEMI4	1.114	0.988	1.095	0.972	NA	1.135	0.854	0.894	1.159
KLF3	3.821	0.252	NA	1.388	NA	1.319	3.127	NA	1.305
CORO7	NA	NA	NA	NA	NA	NA	NA	NA	NA
NU107	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSDMD	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX16	1.313	0.727	NA	1.252	0.864	0.769	0.109	NA	1.109
SELB	1.103	0.977	NA	0.93	NA	NA	NA	NA	1.124
ANTR2	NA	NA	NA	NA	NA	NA	NA	NA	1.612
MTPN	1.381	NA	1.159	NA	1.027	1.583	NA	NA	1.27
GBG2	1.336	1.111	1.063	NA	NA	1.139	NA	NA	1.38
ARPC4	1.067	0.947	0.98	0.433	1.183	1.121	0.944	0.866	NA
CD81	NA	NA	NA	NA	NA	NA	NA	NA	NA
SC61G	NA	NA	9.17	0.919	1.039	NA	NA	0.825	7.041
TPIS	1.087	0.945	1.051	0.899	1.098	1.087	0.818	0.845	1.111
EIF3E	1.123	0.912	0.985	0.983	1.083	1.135	0.9	0.868	1.188
SC61B	NA	NA	NA	NA	NA	NA	NA	NA	NA
PP4C	1.129	0.93	1.025	0.867	1.132	1.187	0.817	0.882	1.229
GBRL2	1.04	NA	10.86	0.933	1.265	15.749	0.902	0.872	17.461
UB2G2	NA	NA	0.605	NA	NA	0.645	NA	NA	0.481
MYL6	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTB	1.129	0.923	0.98	0.948	1.104	1.129	0.884	0.849	1.126
RAC3	1.449	NA	NA	NA	NA	NA	NA	NA	NA
IF4A1	NA	0.936	0.946	NA	1.054	1.122	0.868	0.854	1.135
RS20	NA	0.938	0.554	NA	1.083	0.998	NA	0.83	1.165
PRPS1	1.313	0.889	NA	1.077	1.125	1.125	0.966	0.995	1.185
PSA6	NA	0.848	NA	NA	NA	NA	NA	NA	NA
S10AA	NA	0.962	NA	NA	1.073	NA	0.892	0.858	1.164
CDC42	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEST	NA	0.93	NA	NA	1.051	1.161	NA	0.765	NA
GMFB	NA	0.84	NA	NA	1.055	NA	NA	0.815	NA
RAB8A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPCS3	NA	1.201	NA	NA	NA	NA	NA	NA	NA
SRP54	NA	0.964	0.901	0.712	1.148	1.115	NA	0.872	1.067
RAB2A	NA	0.99	NA	NA	NA	0.858	NA	NA	NA
RAB5B	NA	0.907	0.923	0.93	1.084	1.169	0.907	0.952	0.982
RAB10	NA	NA	NA	NA	NA	NA	NA	NA	NA
UB2D3	1.001	NA	0.868	NA	NA	NA	NA	NA	0.934
UBC12	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE2K	NA	NA	0.937	NA	NA	1.067	NA	NA	NA
UBE2N	NA	NA	NA	NA	0.714	NA	NA	NA	NA
RAB14	NA	0.971	NA	1.005	1.062	1.159	0.943	0.854	0.964
ARP3	1.123	NA	1.044	NA	NA	1.156	NA	NA	1.209
ARP2	NA	NA	NA	NA	1.054	NA	NA	0.891	NA
ACTZ	NA	1.27	1.033	0.95	NA	1.172	0.113	NA	NA
CSN2	NA	NA	NA	1.052	1.173	NA	0.907	0.827	NA
RPAB2	NA	NA	1.115	NA	NA	1.32	NA	NA	1.255
ABCE1	NA	NA	NA	0.773	NA	0.825	NA	NA	NA
RAP1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAP2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS3A	NA	0.965	NA	NA	1.095	1.137	0.885	0.858	1.16
RL26	NA	0.926	0.909	0.932	1.038	1.178	0.824	0.859	1.023
PSME3	1.158	0.975	1.057	0.927	1.04	1.141	0.824	0.826	1.127
RL15	NA	0.903	NA	NA	NA	NA	NA	NA	NA
MGN	NA	NA	0.655	NA	NA	NA	NA	NA	0.879
RL27	NA	0.955	NA	2.475	1.108	1.137	0.741	0.84	1.028
VA0D1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHS	NA	NA	NA	NA	NA	NA	NA	NA	NA
RL37A	NA	0.968	1.039	1.197	1.104	1.209	0.742	0.833	1.076
RHOA	NA	NA	0.836	NA	NA	1.098	NA	NA	NA
RND3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH10	0.839	0.934	0.898	0.871	1.121	1.059	0.819	0.845	0.956
S61A1	NA	0.93	NA	0.87	1.074	1.099	NA	0.841	1.117
PFD3	NA	NA	0.987	NA	1.089	1.151	NA	0.795	NA
STXB1	NA	NA	0.798	NA	NA	NA	NA	NA	1.105
B2MG	NA	0.962	1.024	NA	1.078	NA	0.911	0.875	1.123
DAD1	NA	0.956	NA	NA	1.001	1.064	NA	0.88	NA
NPC2	1.193	0.959	0.837	0.967	1.106	1.12	0.838	0.888	1.037
COPZ1	NA	NA	NA	NA	NA	1.313	NA	NA	NA
RL37	1.532	0.983	NA	NA	1.065	NA	NA	0.864	NA
SUMO2	NA	0.974	NA	1.283	1.112	1.003	7.217	0.856	NA
UFM1	0.763	NA	NA	NA	NA	NA	0.684	NA	NA
DCAF7	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR5	0.288	0.886	0.963	0.939	1.328	1.169	0.978	0.843	1.276
AP1S1	34.73	NA	NA	80.49	NA	NA	NA	NA	NA
NTF2	NA	0.901	NA	NA	NA	NA	0.84	NA	1.146
HNRPK	NA	NA	NA	NA	NA	1.001	NA	NA	1.119
1433G	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBP46	NA	NA	0.795	NA	NA	1.206	NA	NA	1.14
RRAS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIM10	NA	NA	NA	NA	NA	NA	NA	0.844	NA
RS7	1.044	0.953	0.935	0.976	1.068	1.095	0.815	0.88	1.202
PP1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PP1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCS1	NA	0.926	NA	NA	1.11	NA	NA	0.829	NA
PRS4	NA	NA	0.869	NA	NA	1.142	NA	NA	1.289
PRS8	NA	NA	NA	NA	NA	NA	NA	NA	1.142
RS8	NA	0.946	0.918	NA	1.072	1.108	NA	0.882	1.077
RS15A	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS16	0.985	0.917	0.692	NA	1.103	0.748	NA	0.915	0.751
UB2G1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE2H	NA	NA	NA	0.881	NA	NA	0.851	0.881	NA
1433E	1.351	NA	0.925	1.048	NA	1.152	0.931	NA	1.12
RS14	NA	0.935	NA	NA	0.954	1.221	NA	0.741	NA
RS23	NA	0.957	0.723	NA	1.088	1.102	0.8	0.863	1.09
RS18	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS29	NA	0.948	NA	NA	1.071	1.288	NA	0.859	NA
RS13	1.121	0.968	0.971	0.963	1.093	1.137	0.89	0.93	1.103
RS11	NA	0.989	NA	NA	1.086	NA	NA	0.89	1.29
RUXE	NA	0.926	0.948	0.985	1.17	1.171	0.874	0.848	0.916
RUXF	NA	0.959	1.018	0.861	1.107	1.105	8.942	0.877	1.135
RUXG	NA	0.985	NA	NA	1.128	NA	NA	0.817	NA
LSM3	NA	0.961	1.954	NA	1.163	1.509	0.749	0.92	1.302
LSM6	NA	NA	NA	0.919	1.055	NA	0.903	0.811	NA
SMD1	NA	0.935	0.935	NA	1.084	1.151	NA	0.844	NA
SMD2	1.113	NA	0.927	0.929	NA	1.117	0.939	NA	0.989
SMD3	NA	NA	NA	NA	NA	1.139	NA	NA	1.023
TYB4	NA	0.801	NA	NA	NA	1.181	NA	0.781	NA
ARF6	NA	0.943	NA	1.064	1.115	1.112	NA	0.802	NA
PRS10	NA	NA	NA	NA	NA	NA	0.861	NA	NA
SELT	1.056	1.104	0.984	1.001	NA	1.167	NA	NA	0.975
RL7A	NA	0.94	NA	NA	1.065	NA	NA	0.817	NA
RPB7	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB11A	NA	0.679	1.082	NA	NA	1.923	NA	NA	NA
ERF1	NA	0.945	1.09	0.836	1.11	1.126	0.84	0.857	1.102
CNBP	NA	0.884	0.96	NA	NA	1.158	NA	NA	1.376
RS4X	1.231	0.97	NA	NA	1.096	0.938	0.828	0.924	NA
PP2AB	NA	0.89	0.968	0.851	1.235	1.182	0.794	NA	1.071
RHOB	NA	NA	NA	NA	NA	NA	NA	NA	NA
RL23A	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS6	NA	NA	NA	NA	NA	NA	NA	NA	NA
H4	NA	0.955	NA	NA	NA	NA	NA	NA	NA
RAB1A	NA	NA	NA	NA	1.098	NA	NA	0.825	NA
RAN	NA	NA	NA	NA	NA	NA	NA	0.939	NA
RL23	NA	0.925	NA	NA	1.524	NA	NA	NA	1.126
RAP1A	1.094	1.033	1.089	0.963	1.066	1.203	0.845	0.888	1.18
UB2D2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS15	1.012	0.928	1.025	0.984	1.128	1.206	0.835	0.858	1.157
RS24	1.124	0.954	0.978	0.959	1.08	NA	0.88	0.875	NA
RS25	NA	0.947	0.987	0.96	1.104	1.155	0.807	0.845	1.163
RS26	NA	1.092	1.034	1.135	1.211	1.287	0.846	1.131	1.407
RS28	NA	0.963	0.948	NA	0.819	0.968	NA	0.888	NA
GBB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPAB5	NA	NA	NA	NA	1.08	NA	NA	0.906	NA
GBB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RL30	NA	0.918	NA	0.843	1.084	1.18	NA	0.846	1.228
RL39	NA	0.889	NA	0.896	1.028	NA	0.885	0.832	1.078
RL31	NA	0.95	NA	NA	1.068	1.175	0.685	0.9	NA
RL10A	NA	NA	NA	NA	NA	NA	NA	NA	NA
RL32	NA	0.936	0.991	0.867	1.084	1.155	NA	0.827	1.118
RL11	NA	NA	NA	NA	NA	NA	NA	NA	NA
RL8	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPIA	NA	1.076	NA	NA	NA	NA	NA	NA	NA
FKB1A	1.25	0.943	0.995	1.033	1.083	1.153	0.892	0.866	1.073
RS27A	NA	NA	0.987	NA	NA	NA	NA	NA	1.12
RL40	NA	NA	NA	NA	NA	1.046	NA	NA	NA
GRB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRA2B	NA	0.901	0.822	NA	1.101	1.118	NA	0.837	1.098
RAC1	NA	0.999	NA	0.862	NA	NA	NA	NA	NA
AP2B1	NA	0.942	NA	NA	1.083	NA	NA	NA	NA
GNAI1	NA	NA	NA	NA	NA	NA	NA	NA	1.262
CANB1	NA	NA	NA	NA	NA	NA	NA	0.836	NA
1433Z	NA	0.918	0.967	NA	1.01	1.268	NA	0.792	NA
UBE2B	NA	0.993	NA	NA	NA	NA	NA	0.917	NA
2ABA	1.084	0.944	NA	1.007	1.092	1.153	0.796	NA	1.113
SUMO1	NA	NA	NA	NA	1.025	NA	NA	0.809	NA
DYL1	NA	NA	NA	NA	NA	0.996	NA	NA	NA
RL38	NA	NA	NA	NA	1.074	NA	NA	0.883	NA
SKP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBG5	NA	1.223	NA	NA	0.912	NA	NA	NA	NA
RS21	NA	1.09	NA	NA	1.068	NA	NA	0.913	NA
IF5A1	NA	0.911	NA	1.646	1.074	1.214	NA	0.899	NA
RACK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTH	1.145	NA	NA	0.955	NA	NA	0.883	NA	NA
UBC9	NA	0.955	0.925	NA	1.096	1.139	0.878	0.887	NA
TYB10	1.183	0.966	0.965	0.952	1.169	1.183	0.893	0.851	1.147
PP2AA	NA	0.945	NA	NA	1.04	NA	NA	0.837	NA
YBOX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SC11A	NA	NA	NA	0.739	NA	NA	0.732	NA	NA
CSK2B	NA	NA	NA	NA	1.037	NA	NA	NA	NA
TPM4	1.129	0.938	NA	0.962	1.102	NA	0.816	0.91	NA
ACTC	NA	0.859	NA	NA	1.118	NA	NA	0.837	NA
UB2L3	1.064	0.793	1.167	0.883	NA	1.055	0.907	0.706	NA
EF1A1	1.301	0.965	0.985	0.966	1.095	1.139	0.888	0.871	1.137
ACTS	NA	NA	NA	NA	1.114	NA	NA	0.876	NA
TBA1B	NA	0.915	0.78	0.852	NA	1.125	NA	NA	1.081
TBA4A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBB4B	NA	NA	1.418	NA	NA	1.556	NA	NA	1.813
CSK21	1.182	1.044	NA	0.976	1.117	NA	0.997	0.907	NA
PA1B2	NA	1.027	NA	NA	1.112	NA	NA	0.839	NA
H31	NA	0.947	NA	NA	NA	NA	NA	0.887	NA
HBB	NA	7.717	NA	NA	7.787	NA	NA	8.229	NA
HBG1	NA	NA	1.446	NA	NA	2.656	NA	NA	3.257
HBA	NA	NA	NA	NA	1.219	NA	NA	0.719	NA
F193A	NA	NA	NA	NA	NA	NA	0.875	0.833	NA
3BP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOP14	NA	1.056	NA	NA	NA	NA	NA	NA	NA
RNF4	NA	0.946	NA	NA	1.173	NA	NA	NA	NA
IGBP1	NA	NA	1.104	NA	NA	1.215	NA	NA	0.905
SERB	NA	NA	NA	NA	NA	NA	NA	NA	0.675
RBM6	1.321	0.968	0.923	0.915	0.995	1.213	0.916	NA	1.35
IF4G2	1.168	0.951	0.878	0.828	1.088	0.956	0.997	0.845	1.063
RPP38	NA	NA	0.669	NA	NA	1.163	NA	NA	NA
RPP30	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTF2I	1.174	NA	1.105	0.982	1.114	1.377	0.822	NA	1.17
PI42B	1.106	0.976	1.268	0.957	1.078	1.134	0.932	0.879	1.181
SRPK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCPB	NA	0.836	NA	NA	1.036	NA	NA	0.734	NA
KRT85	1.101	0.969	NA	0.933	1.085	NA	0.838	0.872	1.05
RAE1L	NA	NA	NA	NA	NA	NA	0.76	NA	NA
GSTO1	NA	NA	0.993	NA	NA	NA	NA	1.094	1.2
DEN2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKDC	1.126	NA	3.862	0.98	0.466	NA	0.875	0.875	5.949
ADA17	NA	NA	NA	NA	NA	NA	NA	NA	NA
I13R1	NA	0.99	0.919	NA	1.125	1.152	NA	0.885	1.238
MAP1A	NA	0.929	NA	NA	NA	0.485	NA	NA	NA
NUCB2	NA	NA	NA	NA	NA	1.033	NA	NA	NA
BASP1	NA	NA	NA	NA	NA	1.116	NA	NA	NA
GPSM2	1.022	1.037	NA	1.186	1.238	1.537	0.954	0.961	NA
F189B	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCD	1.119	NA	NA	NA	NA	NA	NA	NA	NA
SSBP2	NA	NA	NA	0.95	NA	NA	0.954	NA	NA
TMF1	1.255	NA	0.942	NA	NA	0.96	NA	NA	1.04
RT22	NA	NA	NA	NA	NA	NA	NA	1.012	NA
RT10	NA	0.932	NA	NA	1.063	1.043	NA	0.861	1.104
RT35	NA	NA	NA	NA	NA	1.183	NA	NA	NA
RT05	NA	0.94	NA	NA	NA	NA	NA	NA	NA
RT36	NA	NA	NA	NA	0.854	NA	NA	0.763	NA
RT15	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT21	NA	NA	NA	NA	1.336	NA	NA	1.113	NA
RT34	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT06	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT09	1.22	NA	NA	1.018	NA	NA	0.935	NA	NA
HMGN5	NA	NA	NA	NA	NA	1.324	NA	NA	NA
SARNP	NA	NA	NA	NA	NA	NA	NA	NA	NA
LACTB	1.051	NA	NA	0.99	NA	NA	0.975	NA	NA
COG7	1.111	0.918	0.84	NA	0.939	1.193	0.875	0.774	0.883
RL24	NA	0.962	1.037	NA	1.077	1.134	0.622	0.807	1.069
CBX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMAD3	1.314	NA	NA	NA	NA	NA	1.009	NA	NA
ARF1	1.133	0.935	0.896	1.041	1.061	1.138	NA	0.818	1.098
ARF5	NA	NA	NA	NA	1.135	NA	NA	0.801	NA
ERH	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHOG	1.39	NA	NA	1.166	NA	1.169	NA	NA	NA
RL19	NA	0.95	NA	NA	NA	NA	NA	NA	NA
SRSF3	1.049	0.941	0.918	0.935	1.104	1.213	0.878	0.868	1.14
MXRA7	1.108	NA	1.143	0.932	1.112	1.201	0.827	NA	NA
FOXK1	0.511	1.061	1.11	1.251	1.236	1.306	0.965	1.223	1.276
PRR5	NA	NA	NA	NA	NA	NA	0.795	NA	NA
CCZ1	NA	NA	0.89	NA	NA	1.084	NA	NA	0.996
DAB2	1.155	1.008	0.984	0.975	NA	1.344	0.879	0.967	1.213
FBLN2	1.198	1.006	1.047	0.983	1.16	1.222	0.925	0.969	1.164
PGBM	1.206	NA	1.063	0.724	NA	1.179	0.926	NA	1.06
FGD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10	1.3	0.924	1.025	0.861	1.269	1.102	1.058	NA	0.91
RBM3	NA	0.934	NA	0.929	1.03	NA	0.865	0.829	NA
AT2C1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYC	NA	0.929	NA	NA	NA	NA	NA	0.884	NA
2ABB	NA	NA	NA	NA	NA	NA	NA	NA	NA
EM55	NA	NA	NA	NA	NA	NA	NA	NA	NA
TFAM	NA	0.816	NA	0.976	0.986	NA	0.83	0.743	NA
PIPNA	NA	0.786	NA	NA	0.981	NA	NA	0.677	NA
MPCP	1.129	0.935	0.999	1.109	1.123	1.089	0.834	0.863	1.06
VIGLN	NA	NA	NA	0.484	NA	NA	NA	NA	NA
TF2B	1.199	NA	1.259	NA	0.96	NA	NA	NA	1.458
CDK6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK5	NA	NA	1.223	NA	NA	NA	NA	NA	1.447
CDK16	NA	1.064	NA	NA	NA	NA	NA	0.817	NA
CDK17	NA	NA	NA	NA	NA	NA	NA	NA	NA
PURA	NA	1.061	NA	NA	NA	NA	NA	0.918	NA
BORG5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSF1	1.155	0.971	1.035	0.97	1.068	1.252	0.899	0.913	1.189
NFKB2	1.106	0.737	0.936	0.979	0.946	0.851	0.962	0.79	1.004
FKBP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
REEP5	NA	NA	7.039	NA	NA	NA	NA	NA	1.147
DHSO	1.209	NA	1.165	0.871	0.999	1.395	NA	0.848	1.413
HNRPU	NA	0.959	NA	NA	1.014	1.098	NA	0.852	NA
MYPC1	NA	NA	NA	NA	NA	1.16	NA	NA	NA
PDE1B	NA	0.879	NA	NA	NA	0.907	NA	NA	NA
U2AF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPTB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIAR	NA	NA	NA	NA	NA	NA	NA	NA	NA
SET	NA	1.275	NA	0.982	NA	1.045	NA	NA	NA
SRSF2	1.109	NA	0.964	NA	NA	NA	0.875	NA	NA
RUNX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMPD2	NA	NA	NA	0.864	1.163	1.115	0.629	NA	1.214
FABP5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAP1	1.115	1.086	0.833	NA	1.049	0.987	0.887	0.996	0.987
HMCS1	NA	NA	1.879	NA	NA	NA	NA	NA	2.427
IFM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAT1	1.029	NA	NA	NA	NA	NA	NA	NA	NA
NC2B	NA	0.921	NA	NA	1.134	NA	NA	NA	NA
TFAP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
EXOSX	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTUD4	NA	1.015	NA	NA	1.059	1.036	NA	0.868	1.032
PFKAP	13.451	1.052	1.16	1.043	1.14	NA	0.976	0.988	NA
XPC	NA	0.975	NA	NA	NA	NA	NA	NA	NA
EWS	NA	NA	NA	NA	NA	0.461	NA	NA	NA
CDR2	NA	NA	NA	NA	NA	1.317	NA	NA	0.98
BNC1	NA	0.93	NA	NA	NA	1.23	NA	NA	NA
OCRL	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLCB3	NA	0.902	NA	NA	0.978	NA	NA	0.785	NA
