"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"NAT10" -0.494533333333333 0.732675 -4.30808198630896 0.102005703004895 1 -4.0318473987674
"PKN2" 0.494466666666667 1.27400833333333 4.30750122572844 0.102022623057723 1 -4.03188008048025
"CNOT3" -0.491533333333333 1.062675 -4.28194776018549 0.102771968089204 1 -4.0333291757722
"ELOC" -0.485 1.08876984126984 -4.22503322329437 0.104475813711382 1 -4.0366363564234
"CDC37" -0.105622222222222 1.11083963844797 -2.02403226005377 0.0810297301328975 1 -4.03700592256614
"SH3B4" 0.4731 1.31879722222222 4.12136745967128 0.107708431626506 1 -4.04295620388066
"SNAI1" -0.461533333333333 1.519675 -4.02060549895078 0.111020713571822 1 -4.04949048145946
"MED1" 0.4561 1.09905 3.97327351163827 0.112638196336073 1 -4.05270192947533
"RASA3" 0.0940444444444448 1.14072852733686 2.00755609229833 0.0830549326512204 1 -4.05619135473972
"LOXL2" 0.0690444444444446 1.00872852733686 2.00254319054922 0.0836809054877293 1 -4.06202427647274
"NU155" 0.435 0.685436507936508 3.7894627879032 0.119325059146936 1 -4.06611204773671
"HMCS1" 0.430466666666667 2.13086666666667 3.74997106842773 0.120851862718547 1 -4.06920236048609
"PAXX" 6.61278333333333 4.52700625 2.32241031786593 0.129818459879783 1 -4.07147825538602
"RBM23" 0.416466666666667 1.38786666666667 3.62801134651821 0.125786957248697 1 -4.07925758561071
"CX7A2" -0.413333333333333 1.36207407407407 -3.60071559923369 0.126939309051649 1 -4.08161938650286
"PKHG2" -0.411533333333333 1.009675 -3.58503506355961 0.12760956285471 1 -4.08299541538605
"S12A5" 0.408 1.147 3.55425475279197 0.128943136075308 1 -4.0857381847697
"OGT1" -0.261216666666667 0.96500625 -2.28465691048147 0.133586801072318 1 -4.08810167514019
"MK67I" -0.243 1.12830634920635 -2.10323852079906 0.118178430295933 1 -4.08812978531407
"ENDD1" -0.4019 1.08305 -3.50111515967425 0.131302753051118 1 -4.09060688182408
"PCDGI" 0.398 1.07910317460317 3.46714066571373 0.132850643666413 1 -4.09381118261732
"LSM4" -0.396533333333333 1.18500833333333 -3.45436393294226 0.133440904553122 1 -4.09503520231586
"FMR1" -0.120672222222222 1.03781959325397 -1.96392911934588 0.0949564014970029 1 -4.09521232601694
"PSA" -0.1895 1.15080555555556 -2.26382246330429 0.135728101193293 1 -4.0974133105161
"MTMR2" 0.388466666666667 0.920341666666667 3.38409190269915 0.136769580145095 1 -4.10195886847813
"APC" -0.149355555555555 0.943990426587302 -1.9538136312321 0.0963235681442632 1 -4.10584737648382
"T126A" 0.376466666666666 1.10200833333333 3.27955499820527 0.141992851851659 1 -4.11289051148417
"C2CD2" 0.376333333333333 1.15516666666667 3.27839347704422 0.14205280519525 1 -4.11301643171005
"TPT1L" -1.12648333333333 2.078985 -2.06106152534269 0.123324483847489 1 -4.11351673596957
"TASO2" -0.372533333333334 1.68234166666667 -3.2452901239545 0.143779901588548 1 -4.11664795988743
"CDC20" -0.370666666666667 1.10785185185185 -3.22902882769989 0.144641532006135 1 -4.11846259136921
"ROA3" -0.187666666666667 0.950631349206349 -2.08853664098145 0.119943434217688 1 -4.12079158378976
"RBMS1" 0.398644444444445 1.0249904265873 1.93897354854856 0.0983648820715905 1 -4.12144433438673
"PACS2" -0.196666666666667 1.00171626984127 -2.27969089520794 0.134093141697358 1 -4.12486039024893
"CSTF1" -0.363533333333333 0.980675 -3.16688744558409 0.148017153837748 1 -4.12558948267269
"SF3B2" -0.202 1.03155555555556 -2.20143969237009 0.142414836645647 1 -4.12588695294996
"P66B" 0.29295 1.53998277777778 2.04067144842311 0.125905027027204 1 -4.12715315221763
"ENOPH" 0.71545 1.42178277777778 2.03750803264692 0.126310948878247 1 -4.12914679274369
"RFC3" 0.3567 0.963419444444444 3.10735948608062 0.151379253282239 1 -4.13271403377503
"LS14B" -0.355 1.1475 -3.09255009127732 0.152236003139114 1 -4.13453345517285
"BORG4" -0.3503 1.0833962962963 -3.05160647035055 0.154648284306637 1 -4.13966424419457
